Name,Age,City,Salary
David,59,Phoenix,122371
Alice,20,Houston,74226
David,43,Phoenix,117423
Alice,27,Phoenix,51690
Charlie,21,New York,129595
Bob,54,Los Angeles,128660
Alice,33,Chicago,146057
Eva,50,Houston,108201
Alice,41,Chicago,85186
David,37,Chicago,127017
Eva,43,Los Angeles,64272
Eva,55,Houston,96519
Bob,53,New York,63322
Alice,26,Los Angeles,82926
Charlie,44,Phoenix,118337
Eva,54,Phoenix,57052
Eva,58,Chicago,59589
Charlie,29,New York,132738
Eva,44,Chicago,118360
David,49,Phoenix,77205
Charlie,25,Houston,103797
David,45,Los Angeles,70977
Alice,24,New York,70800
Alice,58,Los Angeles,75711
Alice,20,Los Angeles,54499
David,34,Chicago,144964
Eva,29,Phoenix,88835
Eva,56,New York,109418
Charlie,48,Los Angeles,51677
Charlie,35,New York,79592
Eva,22,New York,84410
Bob,56,Phoenix,127586
David,27,Los Angeles,92057
David,37,New York,129164
David,51,New York,124779
Bob,35,Los Angeles,64541
Charlie,48,Los Angeles,86278
Charlie,51,Los Angeles,66759
David,42,Chicago,86578
Charlie,43,Los Angeles,71510
David,24,Phoenix,92321
Eva,20,New York,109977
Eva,37,Chicago,102948
Charlie,26,Los Angeles,100025
Bob,24,Houston,124183
Charlie,31,Chicago,93022
Alice,52,Chicago,105125
David,36,Chicago,90160
Alice,22,Chicago,142130
Charlie,30,New York,80001
Eva,59,New York,142018
David,58,Chicago,142291
Charlie,59,Houston,87092
Bob,20,Los Angeles,126381
Charlie,29,Chicago,97481
Bob,31,Chicago,113254
Eva,37,Los Angeles,51551
Bob,56,New York,88120
Alice,25,Chicago,140705
Alice,58,Chicago,148784
Alice,56,Chicago,56457
Alice,24,Chicago,66613
Alice,31,Los Angeles,71700
Bob,59,New York,88936
Alice,49,Houston,125389
David,31,Los Angeles,72796
Bob,52,Houston,61799
Eva,21,Houston,100573
Bob,54,Los Angeles,124028
Charlie,30,New York,65254
Eva,59,New York,60935
Alice,35,New York,81319
Alice,46,Los Angeles,143143
Charlie,36,Los Angeles,126114
Alice,48,Phoenix,140105
Eva,20,Los Angeles,137532
Eva,22,Phoenix,118172
Eva,42,Houston,54735
Bob,44,Los Angeles,99675
Bob,39,Phoenix,95965
Eva,50,New York,141392
Bob,33,Houston,102287
Bob,27,Los Angeles,148831
David,39,Chicago,67982
Bob,55,Houston,65984
David,49,Houston,102072
David,40,Phoenix,117067
Bob,28,Los Angeles,51625
Bob,30,Phoenix,78065
Bob,54,Houston,144569
Alice,31,New York,140458
David,28,Los Angeles,147387
Alice,41,Los Angeles,110811
Eva,24,Los Angeles,112813
Bob,27,New York,108679
Eva,41,Houston,91162
Alice,42,Chicago,50277
David,26,Houston,115880
Charlie,39,New York,71025
Bob,26,Phoenix,114748
Eva,52,Phoenix,143705
Eva,57,Chicago,140541
Eva,42,Phoenix,85491
Alice,41,New York,63605
Alice,31,Chicago,122919
Charlie,23,New York,145595
Alice,52,Los Angeles,85773
David,49,Phoenix,107451
David,41,Los Angeles,147986
Eva,37,Houston,55414
Bob,25,Los Angeles,78033
Eva,47,Phoenix,92218
David,21,Houston,125332
David,53,Phoenix,139689
David,59,Phoenix,84935
Eva,57,Phoenix,113085
Charlie,50,New York,64121
Bob,38,Phoenix,113864
Charlie,35,Houston,146378
Charlie,49,Houston,142056
Bob,24,Chicago,133233
David,40,Phoenix,102658
David,36,New York,122400
Eva,41,Phoenix,137675
Eva,22,Houston,51865
Charlie,40,Los Angeles,116588
Bob,44,Phoenix,129262
Bob,40,New York,68861
Alice,35,Houston,90650
Alice,53,Phoenix,94001
Charlie,44,Chicago,56044
Eva,44,Los Angeles,134927
David,47,Houston,136982
David,23,Chicago,105464
Charlie,39,Houston,111909
Bob,32,Los Angeles,130241
Alice,30,Chicago,116487
Eva,29,Chicago,93023
Bob,48,Los Angeles,134107
Eva,51,Los Angeles,149630
Eva,43,Los Angeles,130408
Charlie,33,Houston,124322
Alice,25,Houston,80936
Alice,27,New York,133287
David,36,Chicago,122290
Bob,59,Chicago,54613
Bob,55,Phoenix,127815
Alice,48,Chicago,51055
Eva,37,New York,101311
David,57,New York,98423
David,21,Los Angeles,131279
Eva,37,Chicago,89410
David,50,New York,78536
Eva,54,Los Angeles,139830
David,23,New York,88326
Alice,53,Chicago,55713
David,45,Chicago,94386
David,21,Los Angeles,88312
Bob,54,Chicago,64720
David,59,Los Angeles,89579
Eva,38,Chicago,102828
Alice,41,Phoenix,100073
David,48,Los Angeles,116822
Alice,21,Phoenix,134500
Alice,58,Chicago,51546
David,32,Houston,84561
Bob,35,Chicago,57545
Charlie,48,Houston,63989
David,45,Chicago,104553
Charlie,42,Los Angeles,149319
David,47,New York,54086
Alice,33,Los Angeles,129605
David,53,Houston,93588
Charlie,34,Chicago,127952
Alice,28,Chicago,77358
David,24,Chicago,61508
Bob,41,New York,70489
Eva,48,New York,68641
David,42,Los Angeles,135694
Bob,34,Los Angeles,146565
Charlie,20,Houston,149189
Bob,57,New York,101792
Eva,29,Phoenix,68425
Bob,53,Los Angeles,55798
David,27,Phoenix,77622
Bob,46,Los Angeles,81403
David,49,Phoenix,130913
Charlie,37,Phoenix,78085
Eva,30,Los Angeles,126308
Bob,53,New York,149337
Eva,21,Los Angeles,133359
Bob,58,New York,85975
Eva,39,Chicago,139178
Bob,49,Chicago,148359
Charlie,26,Chicago,118950
Charlie,25,Chicago,99146
David,24,Houston,95055
Bob,22,Houston,80468
Charlie,36,Los Angeles,138403
Charlie,27,Phoenix,91517
Eva,44,Houston,124335
Charlie,43,Houston,51158
Charlie,42,Phoenix,142651
David,26,Houston,148419
Alice,34,Phoenix,115897
Eva,59,Houston,92725
Charlie,44,Chicago,63675
Alice,51,Phoenix,134399
Alice,40,Chicago,110306
Charlie,38,Los Angeles,61535
David,55,Phoenix,59436
Bob,52,Phoenix,104511
David,40,New York,67157
Charlie,44,Houston,118231
Eva,52,Phoenix,50996
Bob,47,New York,117248
Bob,56,New York,59491
Charlie,38,New York,114615
Charlie,42,Chicago,86768
Eva,54,New York,121989
David,51,Phoenix,113044
Eva,38,Los Angeles,121165
Charlie,34,Houston,75266
Eva,27,Chicago,119162
Charlie,31,New York,121997
Bob,30,New York,114130
Eva,58,Chicago,91706
Alice,42,Chicago,115303
Bob,20,Phoenix,130485
Alice,54,Phoenix,141276
Charlie,37,Los Angeles,62396
Alice,26,Phoenix,98416
David,23,Phoenix,61203
Charlie,47,Chicago,131941
Alice,32,Chicago,113131
Charlie,59,Houston,129677
David,41,Chicago,137797
Alice,45,Chicago,74694
Alice,20,Phoenix,66682
Bob,54,Phoenix,50485
Alice,21,Chicago,148766
Alice,57,Chicago,145708
Charlie,45,Houston,90405
David,43,New York,128645
Eva,24,Chicago,72881
David,27,Los Angeles,137596
David,49,Houston,118500
Alice,21,New York,134871
Eva,43,Phoenix,124954
Eva,43,Chicago,73633
David,44,Los Angeles,136028
Charlie,45,Phoenix,83326
Eva,25,Chicago,118565
Eva,42,New York,67650
David,36,Chicago,57974
Bob,51,Chicago,81740
Eva,20,Los Angeles,126609
David,23,Houston,110861
Bob,53,Phoenix,89798
David,51,Phoenix,67702
David,26,Chicago,58188
Charlie,20,Los Angeles,60171
Alice,28,Houston,56294
Bob,44,Chicago,79812
Alice,26,Phoenix,109689
Bob,31,Chicago,109086
Bob,24,New York,80065
Eva,57,Houston,86193
Charlie,27,Chicago,80668
Charlie,45,Los Angeles,52885
David,25,Phoenix,60661
Alice,57,New York,91617
David,24,Los Angeles,116504
Charlie,32,Phoenix,145358
David,36,New York,79365
Charlie,25,Phoenix,108451
Charlie,33,Houston,51849
Bob,31,Chicago,105677
David,42,Phoenix,130392
Bob,59,New York,134621
David,20,Houston,61573
Charlie,44,Chicago,83122
Charlie,47,Houston,105981
Eva,50,Los Angeles,104725
Bob,44,Los Angeles,87265
Alice,48,Chicago,94294
David,44,Los Angeles,121898
Alice,50,Chicago,143560
Eva,52,Los Angeles,119899
Charlie,55,Los Angeles,136778
Bob,42,Los Angeles,136185
Alice,28,Chicago,61357
Bob,23,Phoenix,137130
Charlie,56,Phoenix,109710
Bob,34,Los Angeles,79459
Bob,56,Phoenix,71497
David,37,Houston,139276
Alice,39,Los Angeles,72225
Eva,44,Houston,72095
Bob,44,Phoenix,80022
Bob,55,Chicago,61554
Eva,21,New York,130641
Alice,32,Chicago,119710
Charlie,40,Chicago,141800
David,27,Phoenix,86293
Eva,42,Chicago,135979
Bob,35,Phoenix,78223
Charlie,52,New York,135575
David,53,Phoenix,118026
Eva,33,Houston,114815
Bob,21,Phoenix,107410
Alice,23,Houston,145786
Eva,59,Chicago,137299
Bob,56,Chicago,93087
Charlie,58,Houston,60323
Eva,47,Chicago,106909
David,54,Los Angeles,121585
Alice,58,New York,89964
Eva,45,Phoenix,106253
Eva,36,New York,90598
Alice,29,Chicago,105748
Charlie,45,New York,105254
David,20,Los Angeles,93649
Bob,35,Los Angeles,130304
Charlie,36,Phoenix,145470
Bob,56,Chicago,147698
David,27,Chicago,117410
Charlie,43,Los Angeles,75570
Eva,58,Houston,124287
Charlie,57,New York,57669
Bob,57,Los Angeles,145333
Eva,24,New York,64866
Alice,54,Phoenix,94706
Charlie,42,Los Angeles,145027
Charlie,50,Phoenix,105492
Eva,53,Houston,114043
Charlie,47,Houston,128593
Eva,27,Chicago,58970
Alice,33,Phoenix,99736
Charlie,45,Los Angeles,82538
Bob,57,New York,129665
Charlie,51,New York,70843
Eva,56,Phoenix,107539
Eva,59,Los Angeles,92890
Bob,28,Chicago,112338
Bob,38,Houston,104819
Eva,40,Houston,94390
Eva,45,Chicago,91989
Charlie,59,Los Angeles,111755
Eva,49,New York,65838
Bob,22,New York,88182
Charlie,37,New York,100157
Eva,59,Los Angeles,137984
Alice,53,Los Angeles,64022
Bob,23,Phoenix,71198
Alice,46,Phoenix,149714
Charlie,44,Chicago,136209
Bob,50,Chicago,89059
Charlie,21,New York,145834
David,38,Los Angeles,52199
Bob,27,Phoenix,74429
Charlie,25,New York,136903
Alice,57,Phoenix,76951
Charlie,39,Los Angeles,110953
Eva,54,Los Angeles,75401
Eva,41,Chicago,146601
Alice,56,Los Angeles,97327
Charlie,44,Los Angeles,83030
Bob,50,New York,92228
Alice,21,Los Angeles,58290
Charlie,20,Houston,97015
David,44,New York,94235
Eva,24,Chicago,114923
Alice,20,New York,141308
Charlie,56,New York,132999
David,40,Los Angeles,96233
Eva,24,New York,87667
David,25,Phoenix,52991
Alice,34,Houston,142402
Charlie,42,Phoenix,115263
David,35,Chicago,67322
David,39,Houston,131845
David,32,Los Angeles,134155
Bob,59,Houston,85112
David,52,Los Angeles,53149
Charlie,50,New York,125354
Charlie,40,Los Angeles,71954
Charlie,40,Chicago,109724
Eva,25,Phoenix,58912
David,30,Houston,105596
Alice,44,Phoenix,81487
Eva,31,Phoenix,118885
Bob,41,Phoenix,106481
Charlie,26,Phoenix,74988
Bob,21,New York,125785
Eva,33,Chicago,114785
Bob,35,Chicago,122456
Eva,41,Los Angeles,83305
Bob,23,Los Angeles,114807
Charlie,49,Los Angeles,103079
David,29,Chicago,85589
Charlie,44,Chicago,78282
Charlie,56,Chicago,115592
Charlie,40,Los Angeles,83450
David,57,New York,130610
Charlie,39,Phoenix,63308
Eva,23,Chicago,112566
Bob,57,Chicago,73836
David,23,Houston,55258
Alice,40,Chicago,76793
Eva,58,Phoenix,120509
David,50,Los Angeles,95028
Bob,53,Houston,135766
David,45,Phoenix,118915
Eva,42,New York,60638
Eva,57,Phoenix,122773
Alice,22,Chicago,144128
Charlie,47,Los Angeles,132770
Bob,57,Phoenix,77170
Eva,48,Houston,112764
Eva,55,Phoenix,96202
Bob,53,Houston,79233
Eva,45,Houston,143315
Alice,30,Phoenix,137457
Alice,59,Houston,116654
Charlie,28,Los Angeles,112118
David,37,Chicago,79882
Bob,45,New York,113465
Alice,27,Phoenix,77981
Alice,49,Houston,142797
Alice,59,Chicago,142695
Alice,40,Houston,135475
Charlie,53,Chicago,60044
Eva,30,Phoenix,59517
Alice,32,Houston,91645
Charlie,22,New York,60954
David,52,New York,89001
Eva,44,Phoenix,102592
David,25,Houston,140694
Eva,39,Phoenix,146505
Eva,20,Chicago,92350
Eva,37,Phoenix,57808
Charlie,43,New York,105275
Bob,40,Los Angeles,136753
David,56,Houston,141608
Eva,56,Los Angeles,59189
Eva,32,New York,74415
Alice,56,Los Angeles,97983
Alice,35,Chicago,127925
Charlie,57,Los Angeles,94592
Eva,44,Phoenix,149779
David,40,New York,105024
David,27,Houston,64631
Alice,43,New York,147348
Alice,40,Phoenix,62038
Bob,25,New York,145282
Eva,27,Los Angeles,126900
Eva,56,Los Angeles,54015
Alice,29,Chicago,108503
Alice,25,Phoenix,106349
Alice,45,Phoenix,97022
Bob,53,Houston,89949
Bob,40,Houston,105491
Bob,20,Houston,109495
Eva,53,Phoenix,56163
Bob,39,Chicago,120289
Eva,29,Houston,100313
Alice,22,Los Angeles,51736
Eva,36,Houston,59036
David,43,Houston,78632
Charlie,45,Phoenix,130969
Alice,36,New York,76501
David,37,New York,77901
Charlie,37,Los Angeles,87753
David,57,Houston,78991
Charlie,58,Los Angeles,73027
Charlie,32,Los Angeles,129396
Bob,26,Houston,50046
David,44,Los Angeles,60712
David,53,Los Angeles,58823
Alice,34,Chicago,83427
Eva,25,Los Angeles,117903
David,29,New York,117831
David,57,Chicago,142601
Alice,58,Phoenix,68951
Alice,31,Houston,90231
Bob,45,Phoenix,148755
Eva,36,Houston,104864
Eva,39,Chicago,101941
Bob,43,Phoenix,122912
Alice,29,New York,84266
Alice,59,Los Angeles,125558
Alice,46,Houston,106139
David,31,Phoenix,142242
Eva,27,Houston,146995
Eva,47,Los Angeles,122881
Charlie,52,Chicago,113858
Charlie,50,Chicago,121252
David,42,New York,134233
David,49,New York,64210
Eva,52,Chicago,98087
Charlie,22,Houston,55555
Bob,42,Houston,116375
Alice,44,Houston,102595
Eva,34,Houston,112675
Bob,22,Los Angeles,91870
David,23,Chicago,131262
Alice,53,Phoenix,118983
David,56,Chicago,95250
Charlie,20,New York,102977
Bob,44,Houston,145914
Alice,58,Chicago,52026
Alice,32,Houston,133352
David,35,Houston,58736
Eva,46,Los Angeles,120246
Bob,43,Los Angeles,59003
Alice,49,Houston,91911
Alice,36,Chicago,91578
Charlie,38,Phoenix,66657
Bob,53,Los Angeles,101048
Bob,23,Phoenix,141494
Alice,58,Phoenix,104863
Bob,27,Houston,68842
Bob,40,Los Angeles,106910
Alice,44,Houston,125160
Alice,22,Los Angeles,148393
David,30,New York,109144
David,54,Chicago,117510
David,44,New York,100366
David,20,Chicago,148764
Bob,26,Chicago,52651
Charlie,33,Chicago,105824
Alice,58,Los Angeles,68963
Alice,45,Los Angeles,57146
Eva,47,Chicago,84870
Charlie,25,New York,83976
Charlie,43,Phoenix,92874
Alice,44,Chicago,102080
Charlie,33,Phoenix,139225
Eva,41,New York,118748
Bob,33,Phoenix,71429
David,22,Los Angeles,120481
Eva,21,New York,137280
David,20,Los Angeles,57940
Alice,34,Phoenix,76007
Bob,56,Houston,144194
Eva,27,New York,128183
Charlie,29,Houston,98186
Bob,24,Chicago,119025
Eva,36,Houston,82517
Bob,36,Los Angeles,102749
Alice,36,Los Angeles,139404
Charlie,23,Phoenix,86524
David,22,Phoenix,111987
David,52,Chicago,116578
David,26,Los Angeles,105213
Eva,41,New York,77704
Bob,48,Chicago,134855
Charlie,42,Houston,124807
Charlie,47,New York,125087
Eva,24,Chicago,60302
Charlie,24,Houston,142522
Charlie,51,New York,98348
Bob,22,Phoenix,62138
Bob,45,Los Angeles,94638
Bob,50,Houston,126392
Eva,31,Los Angeles,105725
Eva,30,Houston,84698
Eva,22,Los Angeles,127560
Charlie,31,Houston,90600
David,32,Los Angeles,104418
Charlie,40,Phoenix,143174
Bob,29,Los Angeles,137329
David,55,Houston,108665
Alice,26,Los Angeles,71254
David,51,Los Angeles,79667
Bob,47,Chicago,77321
Bob,30,Houston,131407
Bob,28,Los Angeles,132669
Bob,45,Houston,96454
Alice,57,Chicago,137663
David,35,Houston,61600
Alice,46,Houston,101453
Charlie,25,Houston,61890
David,38,New York,84364
Charlie,20,Los Angeles,56254
Charlie,56,New York,108687
Charlie,52,Los Angeles,129135
Bob,57,Los Angeles,117221
David,38,Chicago,73264
Eva,33,New York,80141
David,39,New York,71591
Bob,22,Phoenix,60737
David,20,Chicago,65549
Bob,58,Los Angeles,60875
David,20,Los Angeles,75307
David,29,Phoenix,58971
Charlie,23,Los Angeles,74393
Alice,25,New York,67104
David,37,Phoenix,65283
Eva,38,Phoenix,63129
Alice,31,Los Angeles,119523
Eva,20,Los Angeles,93075
David,58,Phoenix,114288
Bob,37,New York,114880
David,38,Los Angeles,118714
Charlie,26,Los Angeles,118328
Bob,35,Phoenix,148062
Eva,59,Chicago,126857
David,20,New York,91263
David,57,Los Angeles,73768
Bob,56,Los Angeles,118244
David,27,Chicago,60593
Alice,31,Los Angeles,67112
Eva,24,Houston,70454
David,26,Phoenix,76060
David,58,Los Angeles,80206
Bob,26,Houston,118746
Charlie,36,Los Angeles,83224
Eva,54,Phoenix,101699
Alice,36,Houston,138577
Alice,52,Houston,70210
Bob,48,Phoenix,80758
Alice,56,Chicago,148768
Charlie,52,Chicago,57324
David,28,Phoenix,52926
Eva,41,Los Angeles,84885
David,44,New York,100977
Bob,36,Los Angeles,63862
David,41,Houston,109004
Charlie,30,New York,80254
Alice,52,Houston,94810
Eva,28,Houston,83023
Charlie,57,Phoenix,76015
Bob,26,Chicago,91707
Eva,46,Chicago,116332
David,47,Chicago,95846
Bob,45,Chicago,63044
David,40,New York,108237
Charlie,40,Chicago,115982
Charlie,33,Phoenix,77726
Bob,54,Los Angeles,60562
Alice,24,Houston,65188
Bob,34,Los Angeles,116566
Alice,44,New York,54170
Bob,21,Phoenix,99452
Bob,59,Houston,115650
Eva,33,New York,94920
Alice,56,Phoenix,135740
Alice,53,Houston,95308
Charlie,32,Chicago,117779
David,36,Houston,110751
Charlie,25,New York,104907
Alice,53,New York,82659
Eva,51,Houston,104858
Alice,28,Phoenix,117386
David,53,Phoenix,115987
David,20,Chicago,108491
Bob,52,New York,102260
Eva,51,Chicago,142432
Charlie,22,Chicago,93898
Eva,47,Phoenix,122433
Bob,36,Chicago,80668
Alice,43,Los Angeles,98669
David,22,Chicago,115900
Alice,27,Chicago,129525
Alice,57,New York,108730
Bob,40,Houston,119065
Charlie,20,Chicago,91422
Alice,27,Chicago,94815
David,45,Houston,98327
David,44,New York,50870
Charlie,21,New York,131322
Charlie,55,Los Angeles,139874
Bob,50,Phoenix,86887
Eva,54,New York,111648
David,48,New York,82692
Alice,54,Los Angeles,58894
Bob,41,Houston,62088
Charlie,43,New York,102486
Alice,37,New York,135681
Eva,25,Chicago,131004
Charlie,23,Phoenix,144904
Eva,45,Houston,135693
Eva,41,Chicago,109579
David,26,Phoenix,144841
David,39,Houston,121254
Eva,42,Phoenix,109166
David,43,Houston,140283
Charlie,41,New York,145974
Eva,32,Houston,141914
Eva,42,Los Angeles,53697
Bob,30,Chicago,99662
Bob,34,Los Angeles,75909
Bob,25,Phoenix,56829
Bob,59,Phoenix,65964
Alice,30,Los Angeles,107799
Bob,46,Houston,116794
Charlie,46,Chicago,127653
Alice,39,New York,83824
Charlie,36,Chicago,142238
Bob,21,Chicago,55848
Eva,39,Houston,138242
Alice,34,Phoenix,118618
Eva,29,Houston,101627
Charlie,55,Houston,130568
Charlie,55,New York,66524
Alice,28,Phoenix,134466
Charlie,46,Phoenix,57354
Alice,33,New York,59754
Charlie,45,Chicago,117589
Eva,34,Phoenix,147266
David,33,Los Angeles,78610
Bob,26,Los Angeles,149993
Bob,28,Los Angeles,122795
David,58,Chicago,136564
David,34,Los Angeles,121531
Alice,48,New York,69059
Charlie,49,Phoenix,62404
Eva,51,New York,83977
Bob,50,Phoenix,60485
David,28,New York,114949
David,22,New York,72690
David,35,Houston,50749
Charlie,48,Chicago,132031
Eva,54,New York,98761
David,57,Chicago,129594
Eva,58,Chicago,69648
